city,year,weekofyear,total_cases
sj,2010,11,12
sj,2010,12,12
sj,2010,13,14
sj,2010,14,12
sj,2010,15,12
sj,2010,16,13
sj,2010,17,15
sj,2010,18,15
sj,2010,19,15
sj,2010,20,18
sj,2010,21,17
sj,2010,22,20
sj,2010,23,43
sj,2010,24,40
sj,2010,25,20
sj,2010,26,28
sj,2010,27,44
sj,2010,28,49
sj,2010,29,31
sj,2010,30,24
sj,2010,31,40
sj,2010,32,59
sj,2010,33,48
sj,2010,34,44
sj,2010,35,69
sj,2010,36,60
sj,2010,37,54
sj,2010,38,44
sj,2010,39,40
sj,2010,40,38
sj,2010,41,47
sj,2010,42,31
sj,2010,43,35
sj,2010,44,22
sj,2010,45,21
sj,2010,46,16
sj,2010,47,19
sj,2010,48,16
sj,2010,49,16
sj,2010,50,16
sj,2010,51,16
sj,2011,52,16
sj,2011,1,15
sj,2011,2,15
sj,2011,3,16
sj,2011,4,15
sj,2011,5,15
sj,2011,6,14
sj,2011,7,14
sj,2011,8,14
sj,2011,9,13
sj,2011,10,12
sj,2011,11,12
sj,2011,12,12
sj,2011,13,12
sj,2011,14,12
sj,2011,15,12
sj,2011,16,12
sj,2011,17,12
sj,2011,18,13
sj,2011,19,12
sj,2011,20,12
sj,2011,21,12
sj,2011,22,16
sj,2011,23,15
sj,2011,24,16
sj,2011,25,43
sj,2011,26,32
sj,2011,27,19
sj,2011,28,26
sj,2011,29,26
sj,2011,30,40
sj,2011,31,28
sj,2011,32,35
sj,2011,33,39
sj,2011,34,33
sj,2011,35,35
sj,2011,36,37
sj,2011,37,45
sj,2011,38,19
sj,2011,39,30
sj,2011,40,40
sj,2011,41,34
sj,2011,42,29
sj,2011,43,23
sj,2011,44,26
sj,2011,45,22
sj,2011,46,21
sj,2011,47,21
sj,2011,48,19
sj,2011,49,20
sj,2011,50,20
sj,2011,51,16
sj,2012,52,16
sj,2012,1,16
sj,2012,2,15
sj,2012,3,16
sj,2012,4,14
sj,2012,5,15
sj,2012,6,14
sj,2012,7,14
sj,2012,8,14
sj,2012,9,13
sj,2012,10,12
sj,2012,11,12
sj,2012,12,12
sj,2012,13,12
sj,2012,14,12
sj,2012,15,12
sj,2012,16,12
sj,2012,17,12
sj,2012,18,15
sj,2012,19,12
sj,2012,20,15
sj,2012,21,14
sj,2012,22,15
sj,2012,23,18
sj,2012,24,26
sj,2012,25,36
sj,2012,26,36
sj,2012,27,29
sj,2012,28,21
sj,2012,29,24
sj,2012,30,27
sj,2012,31,36
sj,2012,32,31
sj,2012,33,46
sj,2012,34,40
sj,2012,35,19
sj,2012,36,33
sj,2012,37,40
sj,2012,38,40
sj,2012,39,46
sj,2012,40,41
sj,2012,41,35
sj,2012,42,38
sj,2012,43,36
sj,2012,44,43
sj,2012,45,33
sj,2012,46,21
sj,2012,47,29
sj,2012,48,22
sj,2012,49,20
sj,2012,50,17
sj,2012,51,16
sj,2013,1,15
sj,2013,2,16
sj,2013,3,15
sj,2013,4,15
sj,2013,5,15
sj,2013,6,14
sj,2013,7,14
sj,2013,8,14
sj,2013,9,13
sj,2013,10,12
sj,2013,11,12
sj,2013,12,12
sj,2013,13,12
sj,2013,14,12
sj,2013,15,14
sj,2013,16,15
sj,2013,17,12
iq,2010,26,11
iq,2010,27,11
iq,2010,28,11
iq,2010,29,11
iq,2010,30,11
iq,2010,31,11
iq,2010,32,11
iq,2010,33,11
iq,2010,34,11
iq,2010,35,11
iq,2010,36,11
iq,2010,37,11
iq,2010,38,11
iq,2010,39,12
iq,2010,40,35
iq,2010,41,13
iq,2010,42,14
iq,2010,43,15
iq,2010,44,16
iq,2010,45,15
iq,2010,46,15
iq,2010,47,15
iq,2010,48,15
iq,2010,49,16
iq,2010,50,15
iq,2010,51,15
iq,2011,52,15
iq,2011,1,14
iq,2011,2,14
iq,2011,3,14
iq,2011,4,14
iq,2011,5,14
iq,2011,6,13
iq,2011,7,13
iq,2011,8,13
iq,2011,9,13
iq,2011,10,11
iq,2011,11,11
iq,2011,12,11
iq,2011,13,11
iq,2011,14,11
iq,2011,15,11
iq,2011,16,12
iq,2011,17,12
iq,2011,18,12
iq,2011,19,11
iq,2011,20,11
iq,2011,21,11
iq,2011,22,11
iq,2011,23,11
iq,2011,24,11
iq,2011,25,11
iq,2011,26,11
iq,2011,27,11
iq,2011,28,11
iq,2011,29,11
iq,2011,30,11
iq,2011,31,11
iq,2011,32,11
iq,2011,33,11
iq,2011,34,11
iq,2011,35,11
iq,2011,36,11
iq,2011,37,11
iq,2011,38,12
iq,2011,39,13
iq,2011,40,12
iq,2011,41,13
iq,2011,42,15
iq,2011,43,15
iq,2011,44,15
iq,2011,45,15
iq,2011,46,15
iq,2011,47,15
iq,2011,48,15
iq,2011,49,15
iq,2011,50,15
iq,2011,51,15
iq,2012,52,16
iq,2012,1,14
iq,2012,2,15
iq,2012,3,15
iq,2012,4,14
iq,2012,5,14
iq,2012,6,14
iq,2012,7,13
iq,2012,8,13
iq,2012,9,12
iq,2012,10,12
iq,2012,11,11
iq,2012,12,12
iq,2012,13,11
iq,2012,14,11
iq,2012,15,12
iq,2012,16,12
iq,2012,17,12
iq,2012,18,11
iq,2012,19,11
iq,2012,20,11
iq,2012,21,11
iq,2012,22,11
iq,2012,23,11
iq,2012,24,11
iq,2012,25,11
iq,2012,26,11
iq,2012,27,11
iq,2012,28,11
iq,2012,29,11
iq,2012,30,11
iq,2012,31,11
iq,2012,32,11
iq,2012,33,11
iq,2012,34,12
iq,2012,35,11
iq,2012,36,11
iq,2012,37,11
iq,2012,38,11
iq,2012,39,12
iq,2012,40,13
iq,2012,41,13
iq,2012,42,14
iq,2012,43,15
iq,2012,44,15
iq,2012,45,15
iq,2012,46,15
iq,2012,47,16
iq,2012,48,15
iq,2012,49,16
iq,2012,50,15
iq,2012,51,15
iq,2013,1,14
iq,2013,2,14
iq,2013,3,14
iq,2013,4,14
iq,2013,5,14
iq,2013,6,14
iq,2013,7,13
iq,2013,8,13
iq,2013,9,13
iq,2013,10,12
iq,2013,11,12
iq,2013,12,12
iq,2013,13,11
iq,2013,14,11
iq,2013,15,11
iq,2013,16,12
iq,2013,17,11
iq,2013,18,11
iq,2013,19,11
iq,2013,20,12
iq,2013,21,12
iq,2013,22,11
iq,2013,23,11
iq,2013,24,11
iq,2013,25,11
iq,2013,26,11
